organization_name,org_type,amenity,healthcare,social_facility,address,city,lat,lon,distance_miles
Madison Rx Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.7127913,-73.9896577,8.2
TAWCS,school,school,,,52 Bridge Street,,40.7031271,-73.9847996,8.2
The Dumbo Gan,kindergarten,kindergarten,,,,,40.7037741,-73.9850693,8.2
Winston Prepatory School,school,school,,,122 West 17th Street,,40.7396296,-73.9968794,8.2
Prospect Kids Academy,kindergarten,kindergarten,,,532 Saint Johns Place,,40.672925,-73.9603251,8.21
8th Avenue Dental Associates,dentist,dentist,dentist,,315 8th Avenue,New York,40.7469724,-73.9976561,8.21
Clean Market,alternative,,alternative,,40 Bleecker Street,,40.7256829,-73.9944244,8.21
Fordham Care,pharmacy,pharmacy,pharmacy,,,,40.8609224,-73.8966291,8.21
PS 9 Sarah Smith Garnet School,school,school,,,80 Underhill Avenue,Brooklyn,40.6785507,-73.9663479,8.21
Sewanhaka High School,school,school,,,500 Tulip Avenue,Floral Park,40.7165414,-73.6902117,8.21
Young Adults Institute,social_facility,social_facility,,group_home,120 West 16th Street,New York,40.7389847,-73.9969976,8.21
Manhasset Orthodontics,dentist,dentist,dentist,,71 Onderdonk Avenue,Manhasset,40.7951589,-73.6957632,8.21
Brookdale Center Hebrew Union College,school,school,,,,,40.7288889,-73.9952778,8.22
Kurt Hahn Expeditionary Learning School,school,school,,,,,40.6477763,-73.9215436,8.22
Wortspiele Montessori Preschool,kindergarten,kindergarten,,,807 Classon Avenue,,40.6729672,-73.9606099,8.22
BronxCare Medical and Dental at Poe,clinic,clinic,clinic,,2432 Grand Concourse,Bronx,40.8606324,-73.8977191,8.22
Century Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.713886,-73.9904828,8.22
Hopewell,pharmacy,pharmacy,pharmacy,,,,40.8610823,-73.8962116,8.22
Samuel J Tilden High School,school,school,,,,,40.648096,-73.9222333,8.22
All My Children Daycare & Nursery School,kindergarten,kindergarten,,,420 Lefferts Avenue,,40.6623443,-73.9472791,8.22
Riverstone Senior Life Services,social_facility,social_facility,,nursing_home,99 Fort Washington Avenue,New York,40.839267,-73.9445819,8.23
Rite Aid,pharmacy,pharmacy,pharmacy,,4046,,40.8428185,-73.9389895,8.23
CVS Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.7250466,-73.9944794,8.23
Talent Prep,school,school,,,155 East Broadway,New York,40.7138631,-73.9906331,8.23
Public School 91,school,school,,,,,40.8576333,-73.9075852,8.23
CityMD,clinic,clinic,clinic,,656 Broadway,,40.7269963,-73.9952645,8.24
Washington Sterling Dental,dentist,dentist,dentist,,743 Washington Avenue,,40.6746725,-73.9629814,8.24
Davita Kidney Care,clinic,clinic,dialysis,,2410 Amsterdam Avenue,,40.8472175,-73.9317747,8.24
Walgreens,pharmacy,pharmacy,pharmacy,,,,40.6372421,-73.8925326,8.24
Tribeca Pediatrics,doctors,doctors,doctor,,,,40.686209,-73.9738363,8.24
Ommmango Wellness,alternative,,alternative,,,,40.6863903,-73.9741378,8.24
CVS Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.6933598,-73.9793483,8.24
173 Pharmacy,pharmacy,pharmacy,pharmacy,,,New York,40.8439436,-73.9374183,8.24
Public School 135 - Sheldon A. Brookner,school,school,,,,,40.6530891,-73.9329561,8.24
It Takes A Village Academy,school,school,,,,,40.6477076,-73.9223957,8.25
Altered States,alternative,,alternative,,,,40.68677,-73.9746766,8.25
Greene Community Pharmacy,pharmacy,pharmacy,pharmacy,,702 Fulton Street,,40.685931,-73.9738438,8.25
Washington Avenue Multi-Specialty Medical Center,doctors,doctors,clinic,,,,40.674815,-73.9633615,8.25
Genome Pharmacy,pharmacy,pharmacy,pharmacy,,1105 Jericho Turnpike,New Hyde Park,40.7327912,-73.6848564,8.25
Intermediate School X229 Roland Patterson,school,school,,,,,40.8528715,-73.9209552,8.26
Rite Aid,pharmacy,pharmacy,pharmacy,,501 6th Avenue,,40.7366071,-73.9976191,8.26
New London Pharmacy,pharmacy,pharmacy,pharmacy,,246 8th Avenue,New York,40.7448998,-73.9984993,8.26
Thift Care Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.6740796,-73.9628826,8.26
The Brooklyn Hospital Center Myrtle Avenue Dialysis,dialysis,,dialysis,,,,40.6933788,-73.9798172,8.26
HouseCalls Home Care,ambulatory_care,,,ambulatory_care,4920 Church Avenue,Brooklyn,40.6515033,-73.9306738,8.26
Brooklyn Hospital Center,hospital,hospital,hospital,,121 DeKalb Avenue,Brooklyn,40.6905839,-73.9779176,8.26
Brooklyn Technical High School,school,school,,,,,40.6889095,-73.9764386,8.26
San Nicholas Pharmacy,pharmacy,pharmacy,pharmacy,,1265 Saint Nicholas Avenue,New York,40.8444658,-73.9375064,8.27
Redwood Apothecary,pharmacy,pharmacy,pharmacy,,1280 Saint Nicholas Avenue,New York,40.8448257,-73.936788,8.27
Nevins Drugs,pharmacy,pharmacy,pharmacy,,,,40.6866693,-73.9749701,8.27
Drug Box,pharmacy,pharmacy,pharmacy,,,,40.8692924,-73.8313321,8.27
High School for Public Service,school,school,,,600 Kingston Avenue,Brooklyn,40.6587326,-73.9433347,8.27
Public School X230 Doctor Roland N Patterson,school,school,,,,,40.8532297,-73.9206654,8.28
Changing Tomorrow Academy,kindergarten,kindergarten,,,257 Gold Street,,40.6971741,-73.9829688,8.28
Bambi Early Education and Child Care,kindergarten,kindergarten,,,,,40.6660783,-73.9537988,8.28
Shalman Dentistry,dentist,dentist,dentist,,44 West 10th Street,New York,40.7341365,-73.997521,8.28
Satori Laser,doctors,doctors,doctor,,133 West 14th Street,,40.7381226,-73.9982759,8.28
Cosmetic Dentist in Lower Manhattan,dentist,dentist,dentist,,44 West 10th Street,New York,40.7340943,-73.9975773,8.28
Century Medical & Dental Center,clinic,clinic,clinic,,180 Myrtle Avenue,Brooklyn,40.6933937,-73.9803641,8.28
Columbia University Irving Medical Center,hospital,hospital,hospital,,630 West 168th Street,New York,40.8419985,-73.9420005,8.28
Bio Care Pharmacy,pharmacy,pharmacy,pharmacy,,222 8th Avenue,,40.7441494,-73.9990715,8.29
Twins Pharmacy 2,pharmacy,pharmacy,pharmacy,,4073 Broadway,New York,40.8438365,-73.9392545,8.29
CVS Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.7360128,-73.9981157,8.29
dock.,clinic,clinic,clinic,,1022 Nostrand Avenue,Brooklyn,40.6637096,-73.9511607,8.29
Heart to Heart Home Care,social_facility,social_facility,,nursing_home,2488 Grand Concourse,Bronx,40.8620801,-73.8969289,8.29
Public School 2,school,school,,,122 Henry Street,,40.7129118,-73.9915155,8.29
Public School 76 The Bennington School,school,school,,,,,40.8688746,-73.8609204,8.29
Allen Street Pharmacy,pharmacy,pharmacy,pharmacy,,2 Allen Street,,40.7144998,-73.9924124,8.3
Medical Office,clinic,,clinic,,,,40.672605,-73.9621858,8.3
Luria Academy of Brooklyn,school,school,,,,,40.6782628,-73.9680895,8.3
Chai Tots,kindergarten,kindergarten,,,,,40.6717833,-73.9613627,8.3
Med Pharmacy,pharmacy,pharmacy,pharmacy,,4085 Broadway,New York,40.8442106,-73.9391684,8.31
Cibao Pharmacy,pharmacy,pharmacy,pharmacy,,1303 Saint Nicholas Avenue,New York,40.8456925,-73.9366101,8.31
St. Maria Pharmacy,pharmacy,pharmacy,pharmacy,,1328 Saint Nicholas Avenue,New York,40.8462929,-73.9357164,8.31
Greene Clinic,psychotherapist,,psychotherapist,,89 Fort Greene Place,,40.6873323,-73.9764317,8.31
Prema Soma Healing Arts,alternative,,alternative,,,,40.6799779,-73.9699024,8.31
Brooklyn Center Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.6896969,-73.978276,8.31
Spring Street Chiropractic,alternative,,alternative,,,,40.7216422,-73.9952105,8.31
Stewart Manor Elementary School,school,school,,,38 Stewart Avenue,Stewart Manor,40.724018,-73.6858555,8.31
Juno,clinic,clinic,clinic,,677 Atlantic Avenue,Brooklyn,40.6831743,-73.9732439,8.32
Jerome Pediatric Center,doctors,doctors,doctor,,Jerome Avenue,,40.8609737,-73.9020662,8.32
Forever Health,pharmacy,pharmacy,pharmacy,,,,40.7183948,-73.9942233,8.32
Mint+Bella Dental,dentist,dentist,dentist,,,,40.7331546,-73.9982379,8.32
Brooklyn Imaging,clinic,,clinic,,172 Myrtle Avenue,,40.6934471,-73.9811928,8.32
Friends of Crown Heights Educational Center,kindergarten,kindergarten,,,995 Carroll Street,,40.6678724,-73.9571246,8.32
Brooklyn Medical Plaza,centre,,centre,,650 Fulton Street,,40.686762,-73.9761572,8.32
Public School 54,school,school,,,,,40.864842,-73.8879633,8.32
Public School 244,school,school,,,5404 Tilden Avenue,,40.6479146,-73.9256014,8.32
Saint Francis of Assisi Elementary School,school,school,,,,,40.6614655,-73.9490892,8.33
Middle School 206,school,school,,,,,40.859619,-73.9063201,8.33
Walgreens,pharmacy,pharmacy,pharmacy,,,,40.7438008,-73.9998179,8.33
Housing Works Health Home Care Management,yes,,yes,,130 Crosby Street,,40.7246745,-73.9964298,8.33
Good Reps Physical Therapy,physiotherapist,,physiotherapist,,,,40.6779042,-73.9685706,8.33
Darchai Menachem,school,school,,,432 Rutland Road,Brooklyn,40.6595602,-73.9462299,8.33
Medicine Plus Pharmacy,pharmacy,pharmacy,pharmacy,,517 West 181st Street,,40.8486782,-73.9318569,8.33
Heidi Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.8485537,-73.9322687,8.33
Intermediate School 131,school,school,,,100 Hester Street,,40.7162106,-73.9935639,8.33
PS 244,school,school,,,,,40.6478528,-73.9255896,8.33
Duane Reade,pharmacy,pharmacy,pharmacy,,,,40.7386298,-73.9993543,8.34
Dr. David H. Lifschutz MD,doctors,doctors,doctor,,611 Broadway,New York,40.7258985,-73.9969815,8.34
181st Street Urgent Care Center,clinic,clinic,clinic,,521 West 181st Street,,40.8487864,-73.9320975,8.34
NYC Health + Hospitals/Gotham Health Judson,clinic,clinic,,,,,40.7216747,-73.9958115,8.34
Jeffrey Chan Acupuncture Clinic,alternative,,alternative,,107 East Broadway,New York,40.7136139,-73.9930228,8.35
Cardiac Specialists of Brooklyn,doctors,doctors,doctor,,,,40.6352547,-73.8916236,8.35
MotivNY,physiotherapist,,physiotherapist,,,,40.7212553,-73.9957179,8.35
City Smiles Dental,dentist,dentist,dentist,,2063A Bartow Avenue,Bronx,40.8702714,-73.8279706,8.35
Brooklyn International High School,school,school,,,49 Flatbush Avenue Extension,,40.6973682,-73.9845273,8.35
Public School 33,school,school,,,281 9th Avenue,,40.7489427,-74.000242,8.35
City and Country School,school,school,,,146 West 13th Street,,40.7373319,-73.9993808,8.35
Full Gospel Christian Academy,school,school,,,,,40.6686679,-73.9590113,8.35
Public School 11,school,school,,,,,40.7442685,-74.0004172,8.36
Public School 210,school,school,,,,,40.845226,-73.9391679,8.36
Lenox Hill Radiology,clinic,clinic,clinic,,4120 Broadway,,40.8456572,-73.9384198,8.36
C.O. Bigelow Chemists,pharmacy,pharmacy,pharmacy,,414 6th Avenue,,40.7339069,-73.9990967,8.36
Museum Heights Medical,doctors,doctors,doctor,,,,40.6720986,-73.9632516,8.36
East Broadway Pharmacy,pharmacy,pharmacy,pharmacy,,98 East Broadway,New York,40.7139967,-73.9933985,8.36
Fulton Care Pharmacy,pharmacy,pharmacy,pharmacy,,98 East Broadway,New York,40.7140895,-73.9934192,8.36
Hanson Place Seventh-Day Adventist Elementary School,school,school,,,,,40.6867593,-73.9769971,8.36
Public School 41,school,school,,,116 West 11th Street,New York,40.7354589,-73.9993958,8.36
Middle School 260,school,school,,,,,40.7441667,-74.0005556,8.37
Brooklyn Independent Middle School,school,school,,,,,40.6867383,-73.9771823,8.37
Rite Aid,pharmacy,pharmacy,pharmacy,,9738 Seaview Avenue,Brooklyn,40.6341075,-73.8884025,8.37
Advanced Holistic Center,alternative,,alternative,,86 Saint Felix Street,Brooklyn,40.6874088,-73.9779056,8.37
Franklin & Carroll Drugs,pharmacy,pharmacy,pharmacy,,,,40.6682404,-73.9590053,8.37
Spear,physiotherapist,,physiotherapist,,,,40.6829813,-73.9741958,8.37
Manor Oaks William R. Bowie Elementary School,school,school,,,1950 Hillside Avenue,New Hyde Park,40.7497221,-73.680869,8.37
New York Hotel and Motel Trades Council Brooklyn Health Center,centre,,centre,,265 Ashland Place,Brooklyn,40.6874538,-73.9779393,8.37
Public School 235,school,school,,,,,40.6553342,-73.9409333,8.37
Hagop Kevorkian Center for Near Eastern Studies,school,school,,,,,40.7305142,-73.9988154,8.38
Healthy Pharmacy,pharmacy,pharmacy,pharmacy,,Bowery,New York,40.7179647,-73.9952487,8.38
Milvision,alternative,,alternative,,,,40.6678407,-73.9586669,8.38
Poe Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.8637816,-73.8957048,8.38
P.S. 397 Foster-Laurie,school,school,,,490 Fenimore Street,,40.6587297,-73.9463909,8.38
San Pedro Pharmacy,pharmacy,pharmacy,pharmacy,,1381 Saint Nicholas Avenue,New York,40.8482027,-73.9347678,8.39
Clarkson Pharmacy,pharmacy,pharmacy,pharmacy,,524 Clarkson Avenue,Brooklyn,40.6557891,-73.9421001,8.39
Canarsie Medical Health,doctors,doctors,doctor,,135 Eastern Parkway,,40.6723244,-73.9641423,8.39
"Eliot P. Schuster, M.D.",doctors,doctors,doctor,,,,40.6723039,-73.9640776,8.39
Franklin Medical Center,doctors,doctors,doctor,,901 Franklin Avenue,,40.667803,-73.9588513,8.39
Precious Smiles,doctors,doctors,doctor,,,,40.7073395,-73.6905981,8.39
Bowery Pharmacy,pharmacy,pharmacy,pharmacy,,95 Bowery,New York,40.7173158,-73.9952005,8.39
Proxi Medical Urgent Care,clinic,clinic,clinic,,,,40.6659827,-73.9565827,8.39
Bedford Avenue Family Health Center,clinic,clinic,clinic,,,,40.6658341,-73.9566371,8.39
Dr. Vashty Jean-Louis,doctor,,doctor,,,,40.6659049,-73.9566112,8.39
A.M. Pharmacy II,pharmacy,pharmacy,pharmacy,,223 Grand Street,New York,40.7186251,-73.9956311,8.39
Covert Avenue Elementary School,school,school,,,144 Covert Avenue,Elmont,40.7111418,-73.6888714,8.39
Village Dental Surgery,dentist,dentist,dentist,,,,40.7334735,-73.9998997,8.4
Duane Reade,pharmacy,pharmacy,pharmacy,,60 Spring Street,,40.722136,-73.9969948,8.4
Swan,kindergarten,kindergarten,,,90 Bowery,,40.7174872,-73.9955308,8.4
Excelsior Medical,clinic,clinic,clinic,,,,40.7175655,-73.9954946,8.4
18 Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.7169904,-73.9953498,8.4
Sheldon Medical Care PC,clinic,clinic,clinic,,2435 Jerome Avenue,,40.8622079,-73.9017365,8.4
Medrite Urgen Care,clinic,clinic,clinic,,405 6th Avenue,,40.7336445,-73.9997736,8.4
Bridges MS915,school,school,,,29 6th Avenue,,40.6818821,-73.9738442,8.4
Design Works High School,school,school,,,29 6th Avenue,,40.6818159,-73.9738683,8.4
Kings County Hospital Center,hospital,hospital,hospital,,451 Clarkson Avenue,Brooklyn,40.656643,-73.9437023,8.4
Hester Pharmacy,pharmacy,pharmacy,pharmacy,,153 Hester Street,,40.717464,-73.9956939,8.41
678 Pharmacy,pharmacy,pharmacy,pharmacy,,82 Elizabeth Street,New York,40.7180046,-73.9959497,8.41
Dr. Camile F. Cohen,doctor,,doctor,,,,40.6777735,-73.9702649,8.41
Dr. Desmond Parkin,doctor,,doctor,,,,40.6778126,-73.970251,8.41
Montessori Day School of Brooklyn,kindergarten,kindergarten,,,237 Park Place,,40.6769871,-73.9695453,8.41
Dr. Ann V. Arthur,doctor,,doctor,,,,40.6777938,-73.9702576,8.41
"Esthetix Dentist, NYC's Dental Implant & Cosmetic Specialist",dentist,dentist,dentist,,285 Fort Washington Avenue,New York,40.8449733,-73.9410295,8.41
NewYork-Presbyterian Medical Group Brooklyn,clinic,clinic,clinic,,38 6th Avenue,Brooklyn,40.6820987,-73.974246,8.41
Parkway Medical & Surgical Care,doctors,doctors,doctor,,115 Eastern Parkway,,40.6726278,-73.9650515,8.41
Chen's Herb Supply,alternative,,alternative,,,,40.718108,-73.9958867,8.41
"Eulysses N. Leid, MD",doctors,doctors,doctor,,,,40.6631344,-73.9536162,8.41
CityMD,clinic,clinic,clinic,,,,40.8625379,-73.9015129,8.41
Fang Wong's Office,alternative,,alternative,,150 Mott Street,,40.7192461,-73.9962917,8.41
Tend,dentist,dentist,dentist,,142 8th Avenue,,40.7414768,-74.0010513,8.41
Kamwo Herbal Pharmacy,pharmacy,pharmacy,pharmacy,,211 Grand Street,,40.7188168,-73.9962236,8.41
Yeshiva University High School,school,school,,,2540 Amsterdam Avenue,,40.8517798,-73.9287458,8.41
Lenox Health Greenwich Village,hospital,hospital,hospital,,30 7th Avenue,New York,40.7377778,-74.0008333,8.42
A Class Pharmacy,pharmacy,pharmacy,pharmacy,,85 Elizabeth Street,,40.7181572,-73.9961035,8.42
White Plains Medical Plaza,yes,,yes,,3000 White Plains Road,,40.8700097,-73.8669848,8.42
Chinese Acupunture & Acupressure,alternative,,alternative,,139 Canal Street,,40.7162415,-73.9953155,8.42
Bowery Dental,dentist,dentist,dentist,,,,40.7163866,-73.9955049,8.42
CityMD,clinic,clinic,clinic,,,,40.7464357,-74.0016428,8.42
Vivvi,kindergarten,kindergarten,,,55 Prospect Street,,40.7007693,-73.9880194,8.42
Wonderforest Nature Preschool,kindergarten,kindergarten,,,,,40.6818947,-73.9742401,8.42
One Medical: City Point Brooklyn,clinic,clinic,,,445 Gold Street,,40.693314,-73.9833812,8.42
Rite Aid,pharmacy,pharmacy,pharmacy,,188 9th Avenue,New York,40.7455643,-74.0017197,8.43
Harmony Pharmacy,pharmacy,pharmacy,pharmacy,,128 Mott Street,,40.7186794,-73.9965224,8.43
Greatest Moments Therapy,psychotherapist,,psychotherapist,,55 Washington Street,Brooklyn,40.7026728,-73.9893937,8.43
Preschool of the Arts,kindergarten,kindergarten,,,207 Thompson Street,New York,40.7289277,-73.9995504,8.43
Heart to Heart Adult Day Care,social_facility,social_facility,,day_care,223 Empire Boulevard,,40.6639302,-73.95501,8.43
Northeastern Adventist Academy,school,school,,,418 East 45th Street,Brooklyn,40.6511274,-73.9354283,8.43
Clara Barton High School,school,school,,,901 Classon Avenue,,40.6690753,-73.9613933,8.43
Duane Reade,pharmacy,pharmacy,pharmacy,,131 8th Avenue,New York,40.741435,-74.0015697,8.44
Alrite Pharmacy,pharmacy,pharmacy,pharmacy,,161 Hester Street,New York,40.7177162,-73.9964,8.44
Cohen's Fashion Optical,optometrist,,optometrist,,,,40.6892572,-73.980869,8.44
Renata,yes,,yes,,,,40.7005912,-73.9883701,8.44
MetroKids Preschool,kindergarten,kindergarten,,,46 Market Street,New York,40.7120557,-73.9941988,8.44
Saint Pius X School,school,school,,,,,40.6557531,-73.737946,8.44
Livingston Dental Care,dentist,dentist,dentist,,59 Flatbush Avenue,,40.6871541,-73.9794544,8.45
Pharmacy Inc,pharmacy,pharmacy,pharmacy,,,,40.7137853,-73.9949658,8.45
George Westinghouse Career and Technical Education High School,school,school,,,,,40.6956818,-73.9855947,8.45
137 Mott Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.7185465,-73.9968215,8.45
Balanced Mind Psychotherapy NYC - EMDR & Schema Therapy,psychotherapist,,psychotherapist,,115 Myrtle Avenue,Brooklyn,40.693962,-73.9842945,8.45
North Star Academy M.S. 340,school,school,,,227 Sterling Place,Brooklyn,40.6762721,-73.9697831,8.45
All Health Pharmacy,pharmacy,pharmacy,pharmacy,,118 Mott Street,,40.7180167,-73.9968998,8.46
HumanCare,social_facility,social_facility,,ambulatory_care,120 Mott Street,,40.7180951,-73.9968517,8.46
BATF Bergen Family Health Center,clinic,,clinic,,,,40.6804844,-73.97396,8.46
"Howard J. Reifer, DPM, PC",podiatrist,,podiatrist,,4175 Broadway,New York,40.8474486,-73.9383034,8.46
CP Advanced Imaging,laboratory,,laboratory,,155 Canal Street,,40.7165169,-73.9963949,8.46
City Polytechnic High School,school,school,,,,,40.6955176,-73.9856003,8.46
Public School 189,school,school,,,2580 Amsterdam Avenue,,40.8529515,-73.9278357,8.46
Metrokids Preschool,kindergarten,kindergarten,,,25 Market Street,New York,40.7126141,-73.9947872,8.46
Yung Wing Elementary,school,school,,,40 Division Street,New York,40.7143829,-73.9956849,8.47
Lower West Side Children's Center,school,school,,,,,40.7291677,-74.0002418,8.47
Saint Joseph's Washington Place School,school,school,,,,,40.7326857,-74.0009895,8.47
ABC Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.7172445,-73.9966977,8.47
New York Blood Center,blood_donation,,blood_donation,,30 Flatbush Avenue,,40.6880183,-73.9805816,8.47
MS 915 Bridges,school,school,,,,,40.6953262,-73.9856068,8.47
BASIS Independent Brooklyn Lower,school,school,,,405 Gold Street,,40.691805,-73.9832786,8.47
NYU Dentistry Brooklyn Patient Care,dentist,dentist,dentist,,336 Flatbush Avenue Extension,Brooklyn,40.6910779,-73.9827896,8.47
Quest to Learn,school,school,,,351 West 18th Street,,40.7431192,-74.0023339,8.47
New York City Museum School,school,school,,,333 West 17th Street,New York,40.7424139,-74.0025156,8.48
"Jayne Roberman, LMSW",psychotherapist,,psychotherapist,,,,40.6757375,-73.9699855,8.48
Dr. Dmitriy Bronfman,clinic,clinic,clinic,,14 DeKalb Avenue,Brooklyn,40.6898368,-73.9821089,8.48
CVS Pharmacy,pharmacy,pharmacy,pharmacy,,30 Flatbush Avenue,,40.6883278,-73.9808501,8.48
Brenner Dental of Park Slope,dentist,dentist,dentist,,20 Plaza Street East,Brooklyn,40.675628,-73.9698622,8.48
Quest Diagnostics,laboratory,,laboratory,,41 Elizabeth Street,New York,40.71705,-73.9968987,8.48
Brooklyn LAB Charter School,school,school,,,240 Jay Street,,40.697269,-73.9872265,8.48
MedRite Urgent Care,clinic,clinic,,,68 Flatbush Avenue,,40.6870223,-73.9798483,8.48
CityMD Urgent Care,clinic,clinic,clinic,,,New York,40.8498854,-73.9347049,8.48
New York City Laboratory School for Collaborative Studies,school,school,,,333 West 17th Street,New York,40.7423924,-74.0024678,8.48
New York City Laboratory Middle School for Collaborative Studies,school,school,,,333 West 17th Street,New York,40.7423698,-74.0024148,8.48
Charles Evan Hughes High School,school,school,,,351 West 18th Street,,40.7434047,-74.0025404,8.48
Nazareth Regional High School,school,school,,,,,40.643732,-73.9222745,8.48
Chelsea Royal Care Pharmacy,pharmacy,pharmacy,pharmacy,,154 9th Avenue,New York,40.7441183,-74.0028144,8.49
"S I Rogers, MD",doctor,,doctor,,,,40.6756563,-73.9700213,8.49
"R B Spielman, MD",doctor,,doctor,,,,40.6759662,-73.9704907,8.49
Viva Pharmacy,pharmacy,pharmacy,pharmacy,,1494 Saint Nicholas Avenue,New York,40.8514842,-73.9319242,8.49
Little Makers Studio,kindergarten,kindergarten,,,,,40.6802146,-73.9744416,8.49
Tribeca Pediatrics,doctor,,doctor,,,,40.6801523,-73.9743965,8.49
New Heights Oral Surgery,dentist,dentist,dentist,,651 West 180th Street,,40.8493815,-73.9357674,8.49
"Anukware K. Ketosugbo, MD, FACS",doctor,,doctor,,,,40.6757974,-73.9703145,8.49
Manhattan Chinatown Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.7162886,-73.9967834,8.49
Cooper Podiatry,doctor,,doctor,,14 Nevins Street,,40.6883332,-73.9812616,8.49
Pediatric Associates of NYC,doctor,,doctor,,,,40.6758992,-73.9703861,8.49
Family Plus Pharmacy,pharmacy,pharmacy,pharmacy,,102 Mott Street,,40.7173854,-73.9972853,8.49
Community High School,school,school,,,250 Jay Street,,40.6969264,-73.9872429,8.49
Villy Kx Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.7180704,-73.9974503,8.49
Discovery Kids,kindergarten,kindergarten,,,,,40.6616212,-73.9538028,8.49
Wellness Center,doctors,doctors,doctor,,,,40.8489888,-73.936728,8.49
Shaw Avenue School,school,school,,,99 Shaw Avenue,Valley Stream,40.6723321,-73.7149712,8.49
New Hyde Park Road Elementary School,school,school,,,300 New Hyde Park Road,New Hyde Park,40.7359509,-73.6796715,8.49
Public School 115,school,school,,,1500 East 92nd Street,,40.6348485,-73.8978929,8.49
Tyka Pharmacy,pharmacy,pharmacy,pharmacy,,173 Canal Street,,40.7167981,-73.9972219,8.5
CVS Pharmacy,pharmacy,pharmacy,pharmacy,,81 8th Avenue,New York,40.7399977,-74.0025703,8.5
Farmacia San Rafael,pharmacy,pharmacy,pharmacy,,1479 Saint Nicholas Avenue,New York,40.8512953,-73.9324946,8.5
Public School 46,school,school,,,279 East 196th Street,,40.8669497,-73.8906272,8.5
CityMD,clinic,clinic,clinic,,331 6th Avenue,,40.7313953,-74.0014331,8.5
Prince Center for the Visually Impaired,clinic,clinic,clinic,,550 Merrick Road,,40.670154,-73.7171427,8.5
"S. Danziger, M.D.",doctor,,doctor,,,,40.6757743,-73.9703238,8.5
Park Slope Podiatry,doctor,,doctor,,,,40.6757504,-73.9703347,8.5
Duane Reade,pharmacy,pharmacy,pharmacy,,559 Fulton Mall,,40.6896115,-73.9823638,8.5
Insight Comprehensive Medical PC,clinic,clinic,clinic,,,,40.715504,-73.996766,8.5
The Joint Chiropractic,alternative,,alternative,,111 Prospect Place,Brooklyn,40.6786937,-73.9732784,8.5
Community Healthcare Network,clinic,clinic,clinic,,1167 Nostrand Avenue,Brooklyn,40.6589755,-73.9502525,8.5
Walgreens,pharmacy,pharmacy,pharmacy,,,,40.6829509,-73.977004,8.5
Northwell Health – LIJ Manhasset Ambulatory Pavilion,clinic,clinic,clinic,,1554 Northern Boulevard,Manhasset,40.7936091,-73.6889355,8.5
University Hospital of Brooklyn,hospital,hospital,hospital,,445 Lenox Road,Brooklyn,40.6551408,-73.9444402,8.5
Public School 132,school,school,,,185 Wadsworth Avenue,,40.8505574,-73.9339659,8.5
Confucious Pharmacy,pharmacy,pharmacy,pharmacy,,25 Bowery,,40.714758,-73.9965882,8.51
Created By Kids,kindergarten,kindergarten,,,592 Pacific Street,,40.6830302,-73.9773505,8.51
"M. D'Alto, MD",doctor,,doctor,,,,40.6756577,-73.9705265,8.51
"S. Unterricht, MD",doctor,,doctor,,,,40.6756669,-73.9704845,8.51
Brooklyn Health Medical Alliance Urgent Care,clinic,clinic,clinic,,514 Fulton Street,Brooklyn,40.6892969,-73.9823403,8.51
Khalil Gibran International Academy,school,school,,,,,40.6861625,-73.9798653,8.51
Avenues,school,school,,,,,40.7494168,-74.003321,8.51
Callen Lorde Community Health Center,clinic,clinic,clinic,,356 West 18th Street,New York,40.7430549,-74.0031838,8.51
Prospect Heights Dental Associates,dentist,dentist,dentist,,270 Flatbush Avenue,,40.679135,-73.9741041,8.52
Confucius Plaza Medical Offices,doctors,doctors,doctor,,19 Bowery,,40.7146868,-73.9967375,8.52
SUNY-Downstate School of Public Health,school,school,,,,,40.6554658,-73.9456864,8.52
MSKCC Brooklyn Infusion Center,clinic,,clinic,,557 Atlantic Avenue,,40.6848249,-73.9789659,8.52
Finest Dental Care,dentist,dentist,dentist,,10 Plaza Street East,Brooklyn,40.675629,-73.9706995,8.52
"P. Corley, MD",doctor,,doctor,,,,40.6755897,-73.970784,8.52
AHRC,social_facility,social_facility,,outreach,,,40.6877351,-73.9814001,8.52
Stearn Orthodontics,dentist,dentist,dentist,,,,40.6808725,-73.9757416,8.52
18 Pharmacy,pharmacy,pharmacy,pharmacy,,18 Elizabeth Street,,40.7159422,-73.9972278,8.52
Oxford Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.6792353,-73.9741909,8.52
"Science, Language & Arts International School",school,school,,,,,40.6889471,-73.982243,8.52
