organization_name,org_type,amenity,healthcare,social_facility,address,city,lat,lon,distance_miles
Walgreens,pharmacy,pharmacy,pharmacy,,,,40.7494401,-73.8630492,1.16
Mando Mandarin,school,school,,,143-24 41st Avenue,,40.7599019,-73.8229017,1.17
Metropolitan Vein and Aesthetic Center,clinic,clinic,clinic,,37-73 103rd Street,Corona,40.7513603,-73.8633327,1.18
Leader Pharmacy,pharmacy,pharmacy,pharmacy,,63-46 108th Street,,40.7337942,-73.8502243,1.21
John Bowne High School,school,school,,,,,40.7380794,-73.8237257,1.21
Forest Hills Podiatry,doctors,doctors,doctor,,63-57 108th Street,Forest Hills,40.7335196,-73.8496472,1.22
Lee's Clinic,physiotherapist,,physiotherapist,,41-68 Parsons Boulevard,,40.7586757,-73.8205994,1.22
Freya Pharmacy,pharmacy,pharmacy,pharmacy,,101-19 39th Avenue,,40.7504685,-73.8641755,1.22
"Orthopedics Mohammed Ahmed, M.D.",doctors,doctors,doctor,,98-57A Corona Avenue,,40.7449092,-73.8633798,1.23
Medical Surgical Supplies,yes,,yes,,64-07 108th Street,,40.7328247,-73.8492893,1.25
Centers Urgent Care,clinic,clinic,clinic,,64-2 108th Street,,40.732775,-73.849781,1.27
Queens Wellness,centre,,centre,,105-20 Northern Boulevard,,40.7576019,-73.8629825,1.28
Intermediate School 61 - Leonardo da Vinci,school,school,,,98-50 50th Avenue,,40.7419548,-73.8628762,1.28
Public School 23,school,school,,,,,40.7659351,-73.82819,1.3
PS/IS 499,school,school,,,,,40.7386952,-73.820765,1.3
Adult and Pediatric Dermatology,doctors,doctors,doctor,,64-05 Yellowstone Boulevard,Forest Hills,40.7323691,-73.8508783,1.31
Flushing Hospital Medical Center,hospital,hospital,hospital,,45-00 Parsons Boulevard,Flushing,40.7555008,-73.8168335,1.31
PS/MS 219 Paul Klapper,school,school,,,144-39 Gravett Road,,40.7360821,-73.8235628,1.31
Royal Dental,dentist,dentist,dentist,,64-42 108th Street,,40.7318085,-73.8492752,1.32
Walgreen Pharmacy,pharmacy,pharmacy,pharmacy,,58-22 99th Street,Corona,40.7370095,-73.859557,1.32
Northwell Health - GoHealth Urgent Care,centre,,centre,,58-28 99th Street,Corona,40.7369117,-73.8595157,1.32
Ilya Yagudayev,dentist,dentist,dentist,,,,40.7314934,-73.8486623,1.33
Cypress Garden Care Center,social_facility,social_facility,,nursing_home,139-66 35th Avenue,Flushing,40.7653674,-73.825295,1.35
Public School 19,school,school,,,,,40.7485344,-73.8665488,1.35
Soft Touch Dental,dentist,dentist,dentist,,65-14 108th Street,,40.7310674,-73.8488418,1.36
Natalya Raytses MD DO,doctors,doctors,doctor,,65-14 108th Street,,40.7310452,-73.8488292,1.36
J.H.S. 157 Stephen A. Halsey,school,school,,,,,40.7323498,-73.8528995,1.36
The Pavilion At Queens,social_facility,social_facility,,assisted_living,36-17 Parsons Boulevard,,40.7641217,-73.8227794,1.37
